;country;year;iso_code;population;gdp;biofuel_cons_change_pct;biofuel_cons_change_twh;biofuel_cons_per_capita;biofuel_consumption;biofuel_elec_per_capita;biofuel_electricity;biofuel_share_elec;biofuel_share_energy;carbon_intensity_elec;coal_cons_change_pct;coal_cons_change_twh;coal_cons_per_capita;coal_consumption;coal_elec_per_capita;coal_electricity;coal_prod_change_pct;coal_prod_change_twh;coal_prod_per_capita;coal_production;coal_share_elec;coal_share_energy;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_pct;energy_cons_change_twh;energy_per_capita;energy_per_gdp;fossil_cons_change_pct;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;gas_cons_change_pct;gas_cons_change_twh;gas_consumption;gas_elec_per_capita;gas_electricity;gas_energy_per_capita;gas_prod_change_pct;gas_prod_change_twh;gas_prod_per_capita;gas_production;gas_share_elec;gas_share_energy;greenhouse_gas_emissions;hydro_cons_change_pct;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_pct;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec;low_carbon_share_energy;net_elec_imports;net_elec_imports_share_demand;nuclear_cons_change_pct;nuclear_cons_change_twh;nuclear_consumption;nuclear_elec_per_capita;nuclear_electricity;nuclear_energy_per_capita;nuclear_share_elec;nuclear_share_energy;oil_cons_change_pct;oil_cons_change_twh;oil_consumption;oil_elec_per_capita;oil_electricity;oil_energy_per_capita;oil_prod_change_pct;oil_prod_change_twh;oil_prod_per_capita;oil_production;oil_share_elec;oil_share_energy;other_renewable_consumption;other_renewable_electricity;other_renewable_exc_biofuel_electricity;other_renewables_cons_change_pct;other_renewables_cons_change_twh;other_renewables_elec_per_capita;other_renewables_elec_per_capita_exc_biofuel;other_renewables_energy_per_capita;other_renewables_share_elec;other_renewables_share_elec_exc_biofuel;other_renewables_share_energy;per_capita_electricity;primary_energy_consumption;renewables_cons_change_pct;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec;renewables_share_energy;solar_cons_change_pct;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_pct;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec;wind_share_energy
1811;Austria;1993;AUT;7905280;2,23463E+11;29,52;0,14;16,09;1,44;177,27;1,34;12,09;0,03;;-11,29;-18,23;4426,01;49,59;392,03;3,38;-12,24;-4,02;659,09;7,08;18,21;24,28;51,04;51,37;26,46;13,59;8,34;44543,16;10,36;3,48;9,04;1685,35;13,32;30250,23;241,15;26,33;82,12;7,45;3,33;80,32;859,32;7,19;8580,02;18,22;9,51;1986,09;25,55;16,38;23,18;;10,29;13,12;116,58;4655,11;37,11;13742,22;78,42;43,44;9,09;6,01;113,39;4816,59;38,05;14293,39;74,07;33,28;-1,13;-8,22;;0;0;0;0;0;0;0;1,24;3,17;142,03;450,07;3,55;17260,02;-17,11;-12,12;1840,29;23,05;21,11;50,06;9,45;1,34;0;8,44;1,42;177,27;0;559,26;12,09;0;4,54;6501,08;354,05;9,09;6,01;113,39;4816,59;38,05;14293,39;74,07;33,28;;0,03;0,03;0;0;6,14;0;0,01;;0;0;0;0;0;0;0
1812;Austria;1994;AUT;7935366;2,29749E+11;-37,11;-0,31;13,24;1,14;165,02;1,19;6,44;0,21;;7,57;8,15;4482,03;42,34;400,56;3,1;-19,57;-16,17;524,04;6,31;20,49;12,11;51,29;52,11;31,04;-10,12;-4,36;44110,12;9,43;9,07;6,07;1928,16;15,21;30300,43;247,22;32,08;79,44;16,19;16,39;81,31;1101,17;9,04;8804,52;-20,57;-9,41;1783,38;16,14;16,58;34,31;;-13,59;-17,51;114,47;4501,47;36,11;13318,58;76,48;30,17;-3,09;-10,43;117,48;4651,09;36,9;13809,31;83,32;35,56;-1,22;-10,59;;0;0;0;0;0;0;0;-13,47;-3,07;138,56;441,43;3,47;17045,08;-16,25;-1,09;1760,41;27,15;16,59;48,42;17,24;1,19;0;-12,01;-8,01;165,02;0;502,17;6,44;0;2,44;6579,25;365,09;-3,09;-10,43;117,48;4651,09;36,9;13809,31;83,32;35,56;0;0;0,03;0;0;6,13;0;0,01;;0;0;0;0;0;0;0
1813;Austria;1995;AUT;7947293;2,36824E+11;86,32;0,58;24,32;2,11;239,45;2,24;8,35;0,36;;25,56;18,44;5087,51;45,39;552,41;4,32;-9,15;-3,38;507,51;18,33;20,49;26,31;53,11;55,18;19,01;18,35;18,01;46184,57;1,55;4,54;25,16;2050,58;16,27;31629,18;256,58;37,05;76,04;12,04;12,46;78,37;1123,16;9,31;9594,59;15,23;6,26;1951,09;15,46;18,27;21,15;;16,28;4,21;119,07;4672,01;37,07;13804,07;67,18;43,23;14,42;8,26;126,13;4896,07;39,31;14555,38;78,35;39,36;-2,47;-15,26;;0;0;0;0;0;0;0;-4,37;-6,14;148,22;382,52;3,04;16977,49;22,18;4,47;1909,26;16,22;13,29;48,24;20,29;2,24;0;59,59;3,04;239,45;0;761,33;8,35;0;11,15;6947,05;367,31;14,42;8,26;126,13;4896,07;39,31;14555,38;78,35;39,36;0;0;0,03;0;0;6,12;0;0,01;;0,03;0,03;0;0;6,12;0;0,01
1814;Austria;1996;AUT;7958043;2,43481E+11;-16,26;-0,03;18,52;2,09;201,45;1,57;17,31;0,35;;7,05;2,51;5097,16;40,51;663,48;5,28;-24,38;-9,36;434,47;8,57;23,16;11,23;54,52;53,57;18,35;2,09;7,53;46183,11;9,29;17,39;21,29;2237,38;18,18;32817,37;262,47;33,19;71,49;13,19;19,04;82,01;1184,15;9,4;10186,31;11,09;1,43;1967,11;24,24;26,07;22,57;;-18,32;-15,11;103,57;4300,52;34,22;12725,43;77,39;35,51;-23,22;-13,36;112,37;4502,37;36,19;13381,18;67,21;43,51;1,35;13,22;;0;0;0;0;0;0;0;10,46;15,14;147,56;398,03;3,1;17549,26;-18,05;-12,11;1803,37;19,51;18,07;53,09;6,14;1,57;0;-20,58;-14,15;201,45;0;646,33;17,31;0;7,21;6740,14;375,24;-23,22;-13,36;112,37;4502,37;36,19;13381,18;67,21;43,51;0;0;0,03;0;0;6,12;0;0,01;400;0,12;0,15;0;0;15,18;0;0,04
1815;Austria;1997;AUT;7967086;2,49847E+11;25,07;0,24;21,11;2,32;214,03;2,09;3,35;0,41;;7,08;9,38;5396,06;58,08;743,41;6,23;8,25;3,58;454,22;12,55;17,51;11,45;55,31;56,08;26,31;3,53;19,44;47107,05;9,22;10,58;12,58;2253,03;18,26;33001,17;275,45;33,16;70,36;-13,21;-17,35;80,06;1065,04;8,47;9806,06;-4,29;-11,08;1880,54;28,56;18,32;33,39;;13,41;14,46;118,43;4538,37;36,11;13408,18;78,13;28,45;16,46;6,47;119,23;4747,03;38,22;14121,23;82,24;45,04;-1,17;-7,42;;0;0;0;0;0;0;0;10,33;5,15;153,11;459,58;3,56;17798,15;-19,23;-14,06;1577,19;21,26;12,34;49,48;12,43;2,09;0;18,12;6,29;214,03;0;696,49;3,35;0;8,36;7000,33;379,28;16,46;6,47;119,23;4747,03;38,22;14121,23;82,24;45,04;100;0,03;0,06;0;0;12,22;0;0,02;300;0,44;0,59;2,51;0,02;14,03;0,36;0,16
1816;Austria;1998;AUT;7975856;2,59776E+11;2,3;0,04;28,09;2,36;231,09;2,22;7,15;0,41;;-12,36;-7,19;4743,36;50,49;530,33;4,13;14,35;1,05;472,47;4,06;13,26;24,22;56,16;56,32;24,11;11,03;6,14;47813,03;8,48;15,09;8,29;2127,41;17,29;33252;268,33;33,24;78,18;13,04;3,22;83,27;1113,46;9,27;10056,26;22,24;1,46;2062,42;21,57;29,22;21,36;;3,33;5,09;123,52;4660,01;37,16;13778,28;73,32;41,42;6,26;13,26;117,09;4901,39;39,03;14561,04;82,16;37,22;-0,16;-4,47;;0;0;0;0;0;0;0;17,02;12,26;149,57;499,02;4,29;18464,59;15,21;2,01;1715,27;23,26;21,56;38,6;19,43;2,22;0;18,17;6,59;231,09;0;746,01;7,15;0;10,03;7013,39;385,42;6,26;13,26;117,09;4901,39;39,03;14561,04;82,16;37,22;0;0;0,06;0;0;12,21;0;0,02;125;1,14;2,13;10,29;0,05;27,23;1,29;0,35
1817;Austria;1999;AUT;7991382;2,70186E+11;28,48;0,28;38,06;3,04;203,36;1,6;3,07;0,47;;-6,21;-2,24;4726,42;48,25;554,36;4,42;-17,27;-6,57;419,03;7,03;13,17;20,02;58,02;60,32;27,51;6,59;20,47;48819,04;8,24;-5,58;-15,49;2208,18;17,57;33078,13;268,24;34,22;79,32;4,25;2,12;96,28;1170,22;9,29;10267,37;22,29;13,38;2279,06;19,55;23,24;21,04;;17,34;17,35;125,47;5108,27;40,7;15059,58;82,24;44,14;15,56;20,56;138,05;5306,38;42,35;15740,53;81,18;36,08;-1,9;-7,35;;0;0;0;0;0;0;0;-12,56;-10,45;154,51;483,02;4,26;18101,31;-11,51;-10,28;1522,31;12,58;13,22;38,25;6,38;1,6;0;-18,42;-13,05;203,36;0;651,56;3,07;0;6,07;7499,17;390,49;15,56;20,56;138,05;5306,38;42,35;15740,53;81,18;36,08;0;0;0,06;0;0;1,14;0;0,02;18,33;0,18;2,31;10,17;0,05;32,31;1,23;0,39
1818;Austria;2000;AUT;8010425;2,8041E+11;21,14;0,14;35,51;3,18;191,01;1,53;11,16;0,51;206,16;23,38;17,05;5315,11;42,47;715,09;6,12;10,18;0,33;447,34;12,33;18,17;11,25;58,48;60,25;28,15;0,35;7,07;48867,41;7,36;-11,36;-14,59;2048,58;16,41;32766,19;269,05;33,59;67,45;-13,04;-15,02;81,25;995,13;8,25;9777,21;15,16;11,17;2359,35;31,11;14,56;20,38;12,28;15,13;9,01;134,48;5226,14;42,24;15448,21;84,08;41,05;11,45;6,26;144,31;5437,33;43,44;16117,02;81,41;47,55;-1,37;-7,43;;0;0;0;0;0;0;0;-2,06;-17,02;153,29;362,58;3,24;17705,07;15,34;11,19;1591,31;24,17;16,25;39,35;18,39;1,53;0;-8,58;-3,39;191,01;0;609,29;11,16;0;5,06;7479,34;397,56;11,45;6,26;144,31;5437,33;43,44;16117,02;81,41;47,55;50;0,03;0,09;0;0;2,47;0;0,02;37,13;0,47;3,18;20,19;0,07;36,13;1,57;0,51
1819;Austria;2001;AUT;8039633;2,85336E+11;25,55;0,29;32,04;3,47;219,01;2,07;14,15;0,56;228,02;8,17;7,49;5470,55;57,39;857,04;7,29;-7,38;-1,57;444,05;10,36;15,44;23,45;61,28;61,06;33,09;12,24;28,52;50422,45;8,01;20,27;18,22;2355,03;19,22;34883;287,27;43,42;72,03;6,38;15,17;96,42;1093,58;9,15;10311,53;-4,44;-1,16;2255,42;18,31;14,33;27,26;13,52;-7,59;-18,18;119,25;5041,28;40,46;14798,07;70,23;34,19;-10,51;-4,07;139,21;5269,11;42,24;15539,47;71,58;43,37;0,22;5,59;;0;0;0;0;0;0;0;15,01;26,36;164,26;395,54;3,18;19131,32;11,32;3,28;1612,47;27,45;8,28;52,13;10,24;2,07;0;9,13;7,25;219,01;0;665,39;14,15;0;6,13;7608,34;411,07;-10,51;-4,07;139,21;5269,11;42,24;15539,47;71,58;43,37;77,07;0,06;0,15;5,04;0,01;14,47;0,16;0,04;167,56;5,07;8,25;19,18;0,1;76,11;2,44;2,05
1820;Austria;2002;AUT;8078994;2,91225E+11;10,39;0,08;30,19;3,55;190,22;1,52;10,25;0,58;224,11;10,57;11,41;5533,18;44,58;820,51;7,01;18,21;0,59;514,46;4,47;24,51;11,38;61,39;61,09;29,13;2,38;1,04;50264,41;7,34;14,29;9,18;2338,05;19,19;35028,23;296,45;46,01;80,15;-12,25;-7,37;89,05;1158,11;9,31;10087,18;17,05;10,01;2432,12;28,32;15,34;20,07;13,31;-9,25;-8,14;123,56;4979,58;40,23;14541,08;70,48;29,32;-13,03;-14,19;125,02;5186,29;41,9;15251,58;69,39;35,25;0,7;1,14;;0;0;0;0;0;0;0;2,39;5,14;157,22;359,02;3,27;19423,25;8,59;7,15;1658,22;13,38;16,09;48,25;18,12;1,52;0;-21,56;-7,52;190,22;0;610,19;10,25;0;4,15;7513,14;406,07;-13,03;-14,19;125,02;5186,29;41,9;15251,58;69,39;35,25;80;0,12;0,26;4,58;0,01;7,12;0,16;0,06;18,23;1,27;9,53;22,29;0,14;78,41;3,51;2,26
1821;Austria;2003;AUT;8120105;2,94604E+11;15,56;0,09;30,24;4,04;206,19;2,05;16,02;0,59;279,57;16,58;18,08;5864,11;56,08;1045,35;8,44;-24,54;-12,25;415,46;8,02;22,57;11,59;64,07;58,06;31,47;1,46;8,07;50526,23;7,33;17,25;27,49;2815,08;23,22;37821,41;308,54;44,04;88,19;25,35;10,24;90,03;1380,06;11,16;11053,39;14,43;5,17;2694,29;33,49;22,41;35,07;16,22;-24,11;-22,28;101,28;4103,09;33,21;11876,11;60,19;23,48;-27,23;-35,22;103,14;4353,06;35,24;12714,16;71,36;27,21;6,01;21,31;;0;0;0;0;0;0;0;14,04;14,57;184,36;405,07;3,22;20941,19;-10,49;-7,44;1600,02;27,16;14,06;48,02;12,44;2,05;0;21,53;10,11;206,19;0;686,05;16,02;0;6,32;7152,34;414,14;-27,23;-35,22;103,14;4353,06;35,24;12714,16;71,36;27,21;77,07;0,17;0,44;4,52;0,01;10,57;0,17;0,11;84,56;7,49;2,01;54,26;0,37;141,58;10,37;4,19
1822;Austria;2004;AUT;8171215;3,03786E+11;16,44;0,05;36,57;4,09;245,27;2,31;4,24;0,59;252,59;-2,43;-16,11;5700,46;55,36;968,32;8,31;-89,01;-12,28;89,02;11,13;24,52;13,26;65,01;62,33;19,34;15,17;17,17;51144,12;7,16;-9,56;-15,57;2735,16;22,31;37007,59;308,37;36,25;78,06;16,02;14,23;98,12;1340,07;11,35;11082,46;-9,41;-1,15;2529,55;30,19;28,21;31,56;16,01;11,08;19,09;120,36;4509,59;37,16;12973,07;64,57;30,51;21,07;17,33;122,53;4860,08;40,02;14143,09;79,15;37,34;3,08;16,18;;0;0;0;0;0;0;0;-13,52;-14,08;170,28;425,34;3,45;20233,16;2,35;2,21;1613,08;13,57;14,31;48,25;15,34;2,31;0;25,17;2,51;245,27;0;813,19;4,24;0;10,33;7579,44;418,27;21,07;17,33;122,53;4860,08;40,02;14143,09;79,15;37,34;20;0,08;0,52;9,28;0,02;11,48;0,32;0,12;159,39;11,01;13,03;126,34;1,33;339,17;9,22;10,37
1823;Austria;2005;AUT;8227034;3,11538E+11;287,23;11,37;129,33;15,46;301,08;2,43;15,48;3,42;262,26;5,31;2,34;5681,59;58,11;879,37;7,17;-100;-11,13;0;0;12,58;26,24;67,11;64,49;26,27;14,36;16,48;51725,59;7,06;7,41;7,57;2882,27;24,01;37279,16;316,34;37,01;73,11;9,47;17,05;99,37;1596,23;13,03;11596,14;-27,11;-9,48;2210,14;20,31;23,25;28,34;16,11;15,05;4,43;109,39;4517,43;37,1;12925,38;65,48;40,06;4,55;8,51;131,45;4984,24;41,28;14446,41;63,39;42,29;3,02;18,04;;0;0;0;0;0;0;0;-7,05;-11,42;174,26;422,07;3,41;20016,42;-10,01;-6,06;1434,32;23,31;9,48;49,34;20,08;2,43;0;25,49;4,34;301,08;0;957,25;15,48;0;14,51;7851,11;432,39;4,55;8,51;131,45;4984,24;41,28;14446,41;63,39;42,29;28,49;0,08;0,06;9,11;0,02;12,15;0,31;0,14;45,18;3,29;16,32;172,02;1,33;463,35;3,02;14,56
1824;Austria;2006;AUT;8267771;3,23264E+11;262,59;9,31;424,09;9,37;401,14;3,23;8,06;13,27;247,27;-1,59;-0,56;5651,35;57,15;897,53;7,37;;0;0;0;24,54;12,26;69,02;62,28;19,04;-1,46;-4,45;50932,24;6,02;-2,33;-20,17;2630,13;22,02;36374,13;311,56;45,54;78,08;-6,03;-17,25;97,52;1299,13;11,07;10829,38;24,04;15,41;2546,24;36,12;19,12;25,26;15,4;-17,39;-16,43;108,36;4315,14;36,06;12275,23;61,18;25,38;11,18;8,47;124,52;4931,52;41,06;14558,12;69,46;37,32;6,34;12,59;;0;0;0;0;0;0;0;-1,11;-1,57;164,51;433,07;3,58;19908,39;11,57;6,56;1481,34;14,47;17,28;40,15;16,28;3,23;0;39,24;2,6;401,14;0;1264,21;8,06;0;9,48;7546,25;421,09;11,18;8,47;124,52;4931,52;41,06;14558,12;69,46;37,32;14,31;0,04;1,04;8,59;0,02;18,45;0,32;0,15;42,03;3,55;20,27;222,05;2,15;606,55;3,21;4,05
1825;Austria;2007;AUT;8294720;3,36316E+11;23,17;9,18;489,44;18,55;496,48;4,06;13,34;1,36;235,02;-11,12;-2,03;5439,14;45,45;806,27;6,6;;0;0;0;18,11;25,33;69,33;63,31;34,15;-4,22;-9,17;49672,15;4,45;-12,02;-21,05;2392,47;20,14;34292,53;290,52;37,18;69,33;-11,27;-17,43;95,49;1193,53;9,9;10218,35;-2,45;-7,09;2487,26;29,03;27,17;29,21;14,37;18,22;3,32;116,56;4477,37;37,05;12641,44;72,54;32,12;21,58;11,48;127,58;5212,35;43,17;15394,57;78,22;46,07;6,02;20,13;;0;0;0;0;0;0;0;-21,29;-23,12;164,58;391,01;3,24;18650,48;9,58;5,02;1506,22;19,49;5,15;45,59;13,02;4,06;0;30,28;12,32;496,48;0;1580,43;13,34;0;3,16;7589,43;427,32;21,58;11,48;127,58;5212,35;43,17;15394,57;78,22;46,07;8,27;0,05;1,09;8,51;0,02;12,23;0,32;0,17;19,45;12,53;6,16;246,34;2,04;701,44;7,03;7,38
1826;Austria;2008;AUT;8321134;3,42891E+11;30,21;14,13;590,12;17,28;514,32;4,16;6,45;3,25;220;-3,34;-0,52;5363,52;52,45;673,33;5,53;;0;0;0;17,34;20,01;69,36;64,5;20,36;16,46;8,17;50475,08;4,45;1,41;4,09;2414,13;20,37;34664,54;295,01;46,01;69,07;7,55;21,17;101,26;1352,27;11,18;10901,39;-19,08;-11,39;2060,59;17,25;22,33;30,51;14,19;10,21;17,32;118,48;4611,44;38,33;12944,32;66,06;35,44;5,08;4,08;140,49;5358,14;44,53;15825,55;69,39;31,33;5,26;7,07;;0;0;0;0;0;0;0;-15,36;-8,28;153,21;403,54;3,26;18415,02;-17,02;-4,05;1469,38;15,44;5,54;43,58;18,36;4,16;0;9,04;5,16;514,32;0;1613,28;6,45;0;5,55;7756,47;420,09;5,08;4,08;140,49;5358,14;44,53;15825,55;69,39;31,33;28,25;0,16;1,25;13,05;0,03;12,52;0,47;0,02;-5,33;-1,49;15,52;250,14;2,01;682,24;4,56;6,46
1827;Austria;2009;AUT;8342939;3,31192E+11;40,59;5,53;735,56;7,41;513,09;4,28;13,36;1,5;205,37;-38,09;-12,04;4011,07;40,41;461,21;4,16;;0;0;0;16,11;11,44;67,08;66,3;31,26;-5,14;-15,44;48768,04;4,48;-12,47;-24,11;2303,39;19,12;32040,25;267,23;41,59;76,23;-12,09;-8,06;93,19;1480,35;12,34;10587,34;14,15;5,06;2080,52;17,33;28,12;32,48;13,22;17,37;14,24;117,32;4902,35;40,9;13699,11;72,29;29,13;8,38;8,27;149,15;5656,22;47,18;16743,17;73,41;39,17;1,18;3,43;;0;0;0;0;0;0;0;-6,05;-19,41;145,45;377,23;3,02;17447,21;10,53;0,08;1475,17;17,04;13,15;47,31;24,49;4,28;0;15,15;6,13;513,09;0;1643,18;13,36;0;3,37;7947,24;420,05;8,38;8,27;149,15;5656,22;47,18;16743,17;73,41;39,17;68,38;0,52;2,17;21,33;0,05;22,14;1,15;0,34;-16,05;-3,15;12,37;245,11;2,35;655,35;17,41;6,41
1828;Austria;2010;AUT;8362829;3,38927E+11;-10,53;-2,35;712,18;20,47;546,44;4,48;15,57;7,55;238,29;26,41;19,43;4713,47;44,44;593,18;5,32;;0;0;0;11,05;15,04;70,35;68,31;21,12;7,32;18,12;50256,01;1,24;16,04;20,16;2751,39;23,32;34366,57;287,39;45,31;74,41;22,02;20,29;98,08;1730,27;14,35;11505,29;8,24;12,19;2170,59;19,09;23,11;36,39;15,59;-9,13;-19,11;114,01;4602,05;38,36;12742,16;64,07;30,43;-10,16;-20,08;144,47;5391,39;45,39;15889,02;70,09;40,59;2,44;10,48;;0;0;0;0;0;0;0;11,27;13,48;166,18;443,35;4,05;18166,24;16,05;0,35;1514,56;22,54;11,15;38,37;20,05;4,48;0;17,02;10,56;546,44;0;1718,07;15,57;0;9,59;8127,38;422,37;-10,16;-20,08;144,47;5391,39;45,39;15889,02;70,09;40,59;90,29;0,11;4,07;22,42;0,09;36,57;2,13;0,59;15,23;4,31;17,09;251,28;2,06;685,02;3,33;7,03
1829;Austria;2011;AUT;8391201;3,49843E+11;0,5;0,03;715,37;21,16;550,06;4,56;12,24;9,29;241,38;13,53;2,07;4829,47;46,51;648,46;5,43;;0;0;0;20,01;13,23;70,46;62,26;24,29;-17,13;-25,28;47208,04;3,12;-7,52;-14,42;2549,32;21,35;32807,43;278,47;38,52;69,49;-6,34;-6,11;96,58;1490,25;12,44;10780,43;-8,46;-4,25;2133,59;30,24;35,21;35,49;15,29;-22,36;-12,32;101,29;4087,45;34,24;11266,02;70,35;37,07;-8,38;-26,26;134,01;4880,45;41,31;14416,01;76,48;30,51;8,2;21,38;;0;0;0;0;0;0;0;-5,35;-7,52;150,38;415,12;3,48;17212,55;10,15;9,14;1589,11;16,28;14,49;43,38;23,55;4,56;0;11,02;0,23;550,06;0;1744,06;12,24;0;14,25;7430,17;397,09;-8,38;-26,26;134,01;4880,45;41,31;14416,01;76,48;30,51;111,36;3,54;0,48;24,19;0,17;60,46;4,33;2,01;-9,06;-6,27;10,41;234,15;2,34;645,09;4,56;6,49
1830;Austria;2012;AUT;8429641;3,52451E+11;-1,58;-1,03;701,47;20,13;558,04;5,08;19,32;8,06;198,34;-21,04;-3,19;4477,42;47,21;533,01;4,39;;0;0;0;6,39;10,16;71,5;68,7;25,31;5,06;25,35;49183,54;3,56;-3,45;-17,15;2069,46;17,37;31532,17;277,12;29,44;65,45;-14,19;-6,57;90,01;1165,48;10,11;10242,13;14,57;6,31;2270,22;21,15;16,14;33,25;13,23;28,07;37,59;123,48;5215,42;44,25;14269,57;76,48;29,04;23,22;42,51;161,12;6092,48;51,33;17651,35;85,56;49,55;2,8;18,16;;0;0;0;0;0;0;0;-13,31;-10,48;142,27;402,17;3,27;16843,41;-4,28;-6,48;1524,55;12,8;5,16;37,45;30,15;5,08;0;12,04;0,38;558,04;0;1784,01;19,32;0;13,13;8162,33;422,44;23,22;42,51;161,12;6092,48;51,33;17651,35;85,56;49,55;107,38;7,25;15,25;45,34;0,34;121,54;8,15;3,43;29,35;7,49;18,31;304,47;2,46;813,52;12,41;11,29
1831;Austria;2013;AUT;8479542;3,52914E+11;-12;-1,11;624,01;8,24;558,35;4,7;11,37;5,25;174,43;6,57;0,51;4510,41;40,11;504,09;4,21;;0;0;0;14,38;13,33;72,26;64,59;21,08;-13,21;-8,21;48502,34;3,45;2,37;6,58;1671,46;14,09;31393,35;268,31;34,35;76,05;-19,13;-7,57;82,05;784,24;7,05;9684,37;-27,49;-15,17;1831,06;21,39;14,56;34,43;11,12;-6,56;-16,54;122,33;4962,36;42,02;13514,35;65,57;41,08;-13,33;-15,19;145,53;5963,31;50,5;17106,18;81,05;39,35;7,27;11,57;;0;0;0;0;0;0;0;17,22;6,25;146,15;395,17;3,23;17229,37;-15,06;-16,28;1284,32;24,32;5,01;43,29;15,36;4,7;0;6,45;1,01;558,35;0;1776,26;11,37;0;13,57;7619,36;414,23;-13,33;-15,19;145,53;5963,31;50,5;17106,18;81,05;39,35;93,03;13,01;12,46;78,56;1,03;204,15;16,15;6,55;29,15;15,03;17,54;379,02;3,15;1021,03;18,37;2,09
1832;Austria;2014;AUT;8546066;3,55365E+11;28,36;5,23;767,39;13,47;538,49;4,55;13,24;11,38;160,34;-10,36;-3,11;4112,54;35,21;344,18;3,34;;0;0;0;16,51;22,31;71,29;62,02;21,25;-4,39;-22,45;46203,45;2,51;-6,19;-16,19;1340,47;11,42;29278,35;252,12;26,53;68,57;-14,48;-20,55;75,11;630,29;5,32;8801,31;-22,29;-7,06;1642,18;14,33;18,34;19,25;9,34;-8,43;-3,42;112,33;4809,39;41,01;13003,31;75,13;30,19;12,57;-6,26;155,06;5874,48;50,2;16928,23;88,47;46,43;9,27;14,17;;0;0;0;0;0;0;0;-5,59;-6,14;140,01;381,41;3,16;16395,31;21,34;10,52;1355,02;19,44;7,08;42,41;23,21;4,55;0;-5,38;-7,55;538,49;0;1716,51;13,24;0;14,28;7215,35;407,18;12,57;-6,26;155,06;5874,48;50,2;16928,23;88,47;46,43;32,24;7,01;4,07;92,44;1,19;263,23;5,42;8,59;37,03;14,45;16,59;450,5;4,25;1220,46;10,08;12,39
1833;Austria;2015;AUT;8642422;3,58988E+11;20,52;4,56;895,31;18,43;538,44;5,05;15,38;16,51;181,34;16,22;18,18;4409,25;53,39;341,34;3,35;;0;0;0;5,17;19,24;72,31;62,25;32,48;0,12;0,46;45699,05;1,1;12,01;14,25;1650;14,26;29695,01;266,37;23,56;80,37;7,26;13,31;90,21;891,26;8,06;9231,27;-10,23;-10,15;1561,02;19,58;18,25;20,18;11,19;-15,29;-11,03;101,02;4311,01;37,16;11578,53;61,21;30,42;-8,52;-13,39;141,28;5515,18;47,59;16003,57;91,44;35,03;10,06;14,39;;0;0;0;0;0;0;0;-12,26;-1,44;153,57;427,35;4,05;16085,38;-4,17;-7,14;1285,01;12,29;20,01;38,13;28,44;5,05;0;5,37;5,23;538,44;0;1725,26;15,38;0;4,17;7165,18;408,04;-8,52;-13,39;141,28;5515,18;47,59;16003,57;91,44;35,03;24,38;6,36;10,44;120,46;1,34;307,39;1,52;10,39;39,22;12,16;13,35;560,28;5,24;1512,07;20,45;8,01
1834;Austria;2016;AUT;8736491;3,64218E+11;-17,12;-6,19;742,12;12,24;547,13;5,18;12,26;10,25;172,26;-17,54;-11,11;4064,14;42,28;241,23;2,04;;0;0;0;5,06;19,29;72,41;65,25;26,43;8,28;15,19;46711,05;1,12;5,42;16,42;1636,33;14,17;30042,02;267,39;32,56;69,01;15,35;15,21;90,02;984,06;8,49;9559,13;-7,37;-13,38;1442,18;12,6;13,11;27,27;10,55;16,35;21,42;107,05;4576,03;40,37;12248,26;65,17;29,48;18,46;14,17;155,45;5858,21;51,08;16684,43;82,44;46,39;7,16;23,48;;0;0;0;0;0;0;0;7,07;12,32;150,49;426,43;4,04;16434,15;-21,32;-1,29;1132,05;22,19;14,39;37,45;20,08;5,18;0;3,25;7,04;547,13;0;1755,42;12,26;0;15,32;7479,14;423,24;18,46;14,17;155,45;5858,21;51,08;16684,43;82,44;46,39;31,59;0,41;17,34;140,09;1,1;349,01;12,26;11,59;8,15;16,19;14,14;608,39;5,23;1604,06;8,15;10,15
