;country;year;iso_code;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;consumption_co2;consumption_co2_per_capita;consumption_co2_per_gdp;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;cumulative_other_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;other_co2_per_capita;other_industry_co2;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_cumulative_other_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_global_other_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf;trade_co2;trade_co2_share
3616;Austria;1993;AUT;7905280;"2,23E+11";"2,32";"4,17";"71,32";"7,06";"11,47";"61,22";"11,26";"4,13";"13,02";"0,26";"2,45";"18,17";"4,32";"2,52";"17,34";"12,19";"90,29";"11,27";"6,39";"93,43";"3640,38";"3866,54";"2335,08";"7,26";"282,48";"260,37";"960,48";"6,49";"44543,16";"10,36";"1,52";"0,14";"13,23";"11,47";"9,49";"20,27";"-2,49";"-5,15";"11,33";"8,13";"5,13";"9,58";"35,26";"18,55";"2,05";"16,25";"354,05";"6,09";"4,26";"3,28";"2,36";"10,52";"6,55";"4,14";"8,22";"0,05";"5,01";"0,39";"5,19";"2,47";"0,48";"0,32";"-0,49";"5,39";"7,36";"3,41";"0,01";"0,01";"0,02";0;"62,12";"75,02";"34,37";"59,09"
3617;Austria;1994;AUT;7935366;"2,30E+11";"3,42";"4,25";"62,07";"6,15";"10,17";"68,56";"7,34";"1,18";"13,32";"4,15";"2,48";"18,36";"4,26";"2,54";"20,39";"12,36";"102,42";"14,21";"6,27";"97,25";"3701,47";"3921,35";"2340,07";"9,33";"291,05";"251,46";"987,03";"7,53";"44110,12";"9,43";"2,08";"0,16";"23,58";"13,01";"16,43";"20,07";"-8,51";"-5,04";"11,33";"7,17";"5,08";"0,59";"41,56";"17,31";"2,07";"1,05";"365,09";"5,57";"4,25";"3,24";"2,37";"1,04";"6,51";"4,13";"8,15";"0,06";"5,03";"0,38";"5,19";"3,11";"0,41";"5,33";"-0,42";"5,32";"7,44";"0,22";"0,01";"0,01";"0,02";0;"62,19";"75,09";"40,35";"54,09"
3618;Austria;1995;AUT;7947293;"2,37E+11";"11,31";"3,25";"64,44";"18,17";"18,36";"68,37";"15,21";"16,55";"19,13";"0,26";"2,47";"8,59";"0,27";"2,54";"22,05";"16,41";"93,01";"22,43";"6,33";"108,56";"3766,31";"3988,46";"2362,12";"11,41";"304,26";"255,38";"1015,37";"10,39";"46184,57";"1,55";"2,07";"0,16";"29,01";"15,35";"21,41";"9,27";"-11,48";"-5,26";"10,45";"6,15";"5,07";"9,48";"44,14";"17,42";"2,19";"2,46";"367,31";"4,22";"4,32";"3,31";"2,55";"10,25";"6,48";"4,12";"0,49";"0,07";"5,05";"0,37";"0,32";"3,34";"0,39";"5,54";"-0,46";"0,33";"8,15";"3,38";"0,01";"0,02";"0,02";0;"64,27";"77,57";"44,06";"48,48"
3619;Austria;1996;AUT;7958043;"2,43E+11";"11,34";"3,25";"73,29";"8,45";"8,42";"65,24";"12,28";"18,25";"10,51";"4,27";"2,57";"15,48";"4,37";"3,03";"16,09";"15,54";"101,14";"23,33";"6,55";"104,51";"3839,59";"4054,11";"2367,14";"12,52";"332,43";"247,34";"1045,55";"12,19";"46183,11";"9,29";"1,11";"0,09";"28,17";"17,25";"13,36";"17,04";"-8,04";"-4,57";"10,27";"5,51";"5,12";"9,53";"45,58";"8,04";"2,11";"1,04";"375,24";"4,17";"4,38";"3,35";"2,47";"1,01";"6,45";"4,11";"8,04";"0,08";"5,07";"0,36";"5,21";"3,52";"0,02";"5,59";"-0,39";"5,51";"7,48";"3,37";"0,01";"0,02";"0,02";0;"68,39";"81,3";"43,25";"63,58"
3620;Austria;1997;AUT;7967086;"2,50E+11";"13,41";"3,41";"71,45";"-1,43";"-2,33";"76,23";"10,59";"1,14";"12,04";"4,23";"2,55";"15,25";"4,29";"2,59";"18,37";"2,28";"96,56";"26,39";"6,21";"102,52";"3911,45";"4114,54";"2396,57";"14,53";"337,04";"252,12";"1076,27";"14,52";"47107,05";"9,22";"2,01";"0,15";"20,01";"16,21";"11,23";"14,52";"-11,02";"-3,21";"10,35";"5,09";"5,13";"9,54";"46,13";"6,04";"2,17";"2,33";"379,28";"4,26";"4,36";"3,26";"0,18";"9,56";"6,41";"0,25";"7,58";"0,09";"5,09";"0,36";"5,21";"4,09";"0,34";"5,47";"-0,21";"5,36";"8,09";"3,36";"0,01";"0,02";"0,02";0;"67,02";"80,33";"40,51";"47,03"
3621;Austria;1998;AUT;7975856;"2,60E+11";"10,59";"0,2";"67,32";"-6,05";"-9,03";"68,03";"16,47";"18,04";"15,59";"0,26";"2,57";"8,39";"4,18";"2,56";"24,47";"12,59";"105,43";"17,45";"6,19";"99,35";"3977,25";"4192,24";"2406,04";"1,35";"364,02";"248,22";"1121,28";"17,27";"47813,03";"8,48";"2,22";"0,18";"26,58";"17,11";"11,07";"14,39";"1,11";"1,29";"10,07";"4,32";"5,11";"9,51";"35,06";"9,46";"2,17";"2,35";"385,42";"4,03";"4,35";"3,42";"2,37";"9,42";"6,38";"0,25";"7,53";"0,01";"5,11";"0,36";"5,22";"4,24";"0,42";"0,35";"0,12";"0,35";"8,16";"3,35";"0,01";"0,02";"0,02";0;"67,39";"80,29";"40,03";"49,16"
3622;Austria;1999;AUT;7991382;"2,70E+11";"11,07";"3,21";"76,11";"-5,09";"-15,26";"65,16";"-2,47";"-13,53";"10,34";"4,01";"2,47";"11,38";"4,03";"2,48";"27,36";"13,16";"110,13";"12,12";"5,58";"109,18";"4037,56";"4260,04";"2417,59";"4,25";"366,04";"255,31";"1151,41";"19,49";"48819,04";"8,24";"2,51";"0,21";"17,42";"2,15";"22,39";"10,35";"-8,32";"-1,04";"9,54";"4,14";"4,7";"9,48";"45,53";"5,49";"2,15";"2,22";"390,49";"3,53";"4,24";"3,31";"2,37";"9,28";"6,35";"4,09";"7,47";"0,11";"5,12";"0,35";"5,22";"4,37";"0,52";"0,35";"-0,09";"5,24";"8,14";"3,34";"0,01";"0,02";"0,02";0;"65,17";"78,47";"34,02";"55,02"
3623;Austria;2000;AUT;8010425;"2,80E+11";"12,52";"3,34";"68,52";"0,5";"12,42";"70,59";"-12,21";"-3,17";"8,42";"0,23";"2,45";"12,21";"3,56";"2,49";"27,31";"17,06";"93,14";"19,14";"5,28";"106,29";"4106,48";"4315,23";"2426,23";"1,37";"385,28";"241,58";"1186,22";"22,48";"48867,41";"7,36";"2,45";"0,21";"19,24";"16,06";"22,43";"10,44";"-13,33";"-3,39";"9,28";"3,38";"5,09";"9,45";"34,41";"4,15";"0,14";"2,59";"397,56";"3,57";"4,19";"3,29";"2,51";"9,15";"6,32";"4,08";"7,42";"0,12";"5,12";"0,35";"5,22";"0,29";"0,47";"5,23";"-0,33";"5,13";"8,37";"3,33";"0,01";"0,02";"0,02";0;"65,4";"79,09";"40,02";"41,24"
3624;Austria;2001;AUT;8039633;"2,85E+11";"2,12";"3,34";"72,51";4;"6,44";"70,31";"15,12";"18,13";"15,57";"3,59";"2,48";"20,08";"4,06";"2,53";"25,22";"2,06";"105,52";"12,14";"5,39";"119,29";"4179,39";"4385,54";"2455,12";"10,13";"404,04";"239,37";"1211,31";"26,09";"50422,45";"8,01";"3,03";"0,23";"18,36";"2,01";"15,24";"9,58";"-2,21";"-4,11";"9,17";"3,21";"4,54";"9,25";"40,49";"4,28";"2,22";"3,21";"411,07";"3,48";"4,33";"3,42";"2,59";"9,03";"6,29";"4,08";"7,37";"0,13";"5,14";"0,34";"5,22";"5,02";"0,54";"0,34";"-0,04";"5,32";"8,55";"3,32";"0,01";"0,02";"0,02";0;"77,02";83;"26,42";"47,51"
3625;Austria;2002;AUT;8078994;"2,91E+11";"13,16";"3,35";"87,15";"14,24";"2,57";"83,42";"13,12";"11,01";"9,05";"0,24";"2,52";"23,09";"4,07";"2,57";"28,16";"3,12";"97,28";"23,57";"5,27";"117,05";"4251,14";"4453,56";"2467,48";"2,12";"421,14";"236,05";"1248,28";"14,06";"50264,41";"7,34";"2,47";"0,21";"16,07";"17,29";"17,39";"20,59";"-3,33";"-4,19";"9,05";"1,12";"5,03";"9,33";"36,56";"11,43";"0,15";"1,21";"406,07";"3,42";"4,34";"3,41";"2,53";"0,53";"6,26";"4,07";"7,32";"0,14";"5,14";"0,34";"5,23";"5,15";"0,52";"5,28";"-0,39";"5,49";"0,56";"3,31";"0,01";"0,02";"0,02";0;"78,52";"84,5";"25,53";"35,16"
3626;Austria;2003;AUT;8120105;"2,95E+11";"13,34";"3,36";"83,42";"12,07";"7,54";"84,34";"16,31";"17,09";"16,03";"0,26";"3,07";"17,52";"4,23";"3,09";"32,41";"5,29";"116,22";"19,16";"5,43";"114,59";"4319,16";"4525,27";"2484,49";"16,04";"442,41";"236,56";"1288,49";"18,53";"50526,23";"7,33";"3,04";"0,23";"21,27";"4,06";"11,13";"14,37";"-14,48";"-1,49";"8,9";"2,36";"4,46";"9,09";"40,21";"17,33";"2,25";"3,53";"414,14";"3,24";"0,28";"3,49";"0,17";"8,37";"6,24";"4,07";"7,27";"0,15";"5,15";"0,33";"5,24";"5,25";"0,53";"0,34";"-0,15";"6,08";"8,51";"0,21";"0,01";"0,02";"0,02";0;"83,45";"89,43";"23,58";"37,44"
3627;Austria;2004;AUT;8171215;"3,04E+11";"2,19";"3,39";"88,39";"4,57";"6,24";"80,35";"-3,58";"-5,11";"14,35";"4,11";"3,03";"17,29";"4,16";"3,06";"29,46";"4,54";"115,56";"25,35";"5,45";"113,29";"4407,55";"4603,25";"2498,55";"3,09";"455,04";"244,32";"1329,29";"23,29";"51144,12";"7,16";"2,45";"0,02";"28,02";"4,42";"11,53";"15,22";"-8,04";"-2,54";"9,21";"2,18";"4,38";"8,07";"39,1";"17,05";"2,29";"4,36";"418,27";"3,19";"4,31";"3,44";"2,43";"8,23";"6,21";"4,07";"7,21";"0,16";"5,16";"0,33";"5,25";"5,34";"0,48";"5,36";"-0,26";"5,55";"8,45";"3,28";"0,01";"0,02";"0,03";0;"84,34";"90,32";"27,17";"46,51"
3628;Austria;2005;AUT;8227034;"3,12E+11";"14,17";"3,38";"80,37";"7,38";"14,19";"77,37";"2,35";"8,15";"15,44";"4,08";"3,02";"19,14";"4,14";"3,06";"31,22";"4,51";"118,52";"28,18";"5,43";"112,07";"4488,32";"4686,35";"2514,37";"5,49";"469,05";"247,05";"1375,03";"27,31";"51725,59";"7,06";"0,16";"0,19";"29,41";"6,33";"26,23";"14,18";"-13,07";"-0,21";"9,03";"1,49";"4,37";"8,03";"45,34";"17,08";"2,24";"4,03";"432,39";"3,06";"4,27";"3,44";"2,35";"0,49";"6,18";"4,06";"7,15";"0,17";"5,17";"0,32";"5,26";"5,41";"0,46";"5,48";"-0,35";"5,55";"8,08";"3,27";"0,01";"0,02";"0,03";0;"84,39";"90,36";"38,15";"50,28"
3629;Austria;2006;AUT;8267771;"3,23E+11";"16,54";"3,56";"89,37";"-2,28";"-16,43";"86,07";"-12,43";"-5,21";"11,32";"3,54";"0,18";"13,51";"3,58";"3,02";"31,27";"4,41";"111,06";"18,13";"0,34";"113,21";"4552,09";"4757,02";"2546,04";"2,41";"494,23";"243,34";"1415,16";"31,35";"50932,24";"6,02";"0,18";"0,22";"25,18";"3,56";"21,02";"10,34";"-3,31";"-2,19";"8,49";"1,27";"4,01";"8,05";"40,14";"14,12";"2,23";"4,04";"421,09";"3,06";"4,11";"3,31";"2,26";"7,56";"6,15";"4,06";"0,43";"0,18";"5,17";"0,32";"5,26";"5,47";"0,52";"5,16";"-0,22";"0,34";"7,48";"3,26";"0,01";"0,02";"0,03";0;"82,18";"88,15";"37,09";"47,43"
3630;Austria;2007;AUT;8294720;"3,36E+11";"4,11";"4,17";"75,58";"-2,7";"-11,34";"81,57";"-2,13";"-15,35";"22,25";"3,39";"2,58";"23,36";"0,22";"0,18";"24,36";"3,44";"114,41";"24,09";"5,14";"117,32";"4638,28";"4838,58";"2548,42";"11,55";"502,59";"233,53";"1438,48";"20,42";"49672,15";"4,45";"3,05";"0,22";"24,16";"17,29";"14,32";"18,12";"-9,41";"-0,07";"8,33";"1,04";"4,01";"8,03";"46,24";"10,55";"2,28";"4,46";"427,32";"3,09";"3,55";"3,24";"2,16";"7,43";"6,11";"4,05";"7,03";"0,19";"5,16";"0,32";"5,26";"5,53";"0,54";"4,48";"-0,13";"5,26";"7,52";"3,24";"0,01";"0,02";"0,03";0;"79,23";"85,2";"38,43";"42,45"
3631;Austria;2008;AUT;8321134;"3,43E+11";"4,13";"4,16";"81,15";"-10,22";"-1,24";"75,05";"-6,52";"-0,56";"21,08";"3,33";"2,54";"21,52";"3,34";"2,55";"17,28";"2,46";"114,48";"19,43";"5,02";"121,45";"4704,03";"4914,02";"2572,28";"14,37";"527,15";"243,22";"1489,01";"25,57";"50475,08";"4,45";"2,42";"0,02";"24,16";"3,35";"13,29";"17,11";"-6,11";"-0,45";"8,25";"16,31";"4,33";"0,52";"43,01";"8,24";"2,31";"5,15";"420,09";"3,07";"3,49";"3,19";"2,09";"7,31";"6,08";"4,04";"6,57";"0,02";"5,15";"0,31";"5,26";"5,59";"0,48";"4,56";"-0,08";"5,17";"8,03";"3,23";"0,01";"0,02";"0,03";0;"79,38";"85,35";"33,33";"42,48"
3632;Austria;2009;AUT;8342939;"3,31E+11";"14,19";"3,36";"72,15";"-6,18";"-14,49";"71,38";"-19,06";"-9,28";"22,51";"0,2";"2,43";"9,09";"3,23";"2,45";"25,52";"9,58";"99,55";"18,02";"4,48";"120,23";"4776,19";"4970,01";"2582,41";"18,02";"544,51";"242,45";"1514,16";"27,26";"48768,04";"4,48";"3,25";"0,25";"17,36";"2,42";"14,22";"18,05";"-16,17";"-1,57";"8,07";"16,07";"4,23";"7,39";"40,55";"6,05";"2,03";"1,29";"420,05";"2,33";"3,34";"3,01";"1,38";"7,18";"6,04";"4,03";"0,41";"0,21";"5,14";"0,31";"5,25";"6,01";"1,02";"4,56";"-0,19";"5,14";"7,01";"3,21";"0,01";"0,02";"0,03";0;"72,19";"78,17";"28,38";"50,26"
3633;Austria;2010;AUT;8362829;"3,39E+11";"11,22";"3,14";"72,17";"15,42";"22,25";"71,19";"11,31";"7,11";"15,45";"3,29";"2,48";"18,12";"3,32";"2,51";"23,19";"15,13";"104,29";"13,42";"4,59";"131,45";"4848,36";"5038,37";"2594,18";"5,25";"560,09";"237,58";"1545,52";"30,45";"50256,01";"1,24";"3,04";"0,22";"30,58";"6,05";"25,31";"13,37";"-4,48";"-2,27";"8,11";"1,37";"4,22";"7,37";"47,16";"6,41";"2,16";"3,19";"422,37";"2,09";"3,36";"3,04";"1,51";"7,05";"0,36";"4,02";"6,44";"0,21";"5,14";"0,31";"5,25";"6,05";"0,54";"5,03";"-0,24";"5,07";"7,43";"0,2";"0,01";"0,02";"0,03";0;"77,58";"83,55";"32,12";"48,55"
3634;Austria;2011;AUT;8391201;"3,50E+11";"12,06";"3,19";"84,09";"-3,48";"-17,27";"81,21";"-17,29";"-15,29";"11,19";"3,17";"2,54";"13,31";"0,2";"2,57";"28,38";"15,45";"105,39";"16,54";"4,55";"128,11";"4917,05";"5118,51";"2618,57";"8,25";"573,39";"235,09";"1583,36";"35,38";"47208,04";"3,12";"0,18";"0,21";"18,13";"3,53";"21,21";"23,21";"-2,48";"-2,12";"8,32";"15,44";"4,38";"7,54";"37,43";"19,06";"2,27";"4,53";"397,09";"2,03";"3,23";"2,54";"1,47";"6,51";"5,56";"4,01";"6,37";"0,22";"5,13";"0,03";"5,24";"6,09";"0,05";"4,38";"-0,21";"4,53";"7,28";"3,18";"0,01";"0,02";"0,03";0;"75,26";"82,14";"33,25";"56,22"
3635;Austria;2012;AUT;8429641;"3,52E+11";"12,13";"3,18";"71,43";"-12,26";"-15,37";"79,13";"-17,47";"-8,44";"20,32";"3,07";"2,39";"23,22";"3,11";"2,42";"25,25";"13,22";"108,33";"24,32";"4,43";"124,44";"4988,48";"5182,25";"2628,42";"11,29";"589,44";"225,12";"1610,36";"39,14";"49183,54";"3,56";"3,04";"0,22";"31,45";"2,01";"13,47";"15,52";"-1,43";"-0,17";"8,17";"15,22";"4,19";"0,45";"42,41";"17,32";"2,17";"3,36";"422,44";"2,01";"3,13";"2,43";"1,39";"6,38";"5,52";"3,59";"6,31";"0,23";"5,11";"0,03";"5,23";"0,37";"0,49";"4,21";"-0,27";"4,44";"6,58";"3,16";"0,01";"0,02";"0,03";0;"71,42";"78,29";"32,29";"63,32"
3636;Austria;2013;AUT;8479542;"3,53E+11";"11,56";"3,15";"79,56";"8,13";"12,13";"76,02";"12,29";"3,17";"21,14";"3,09";"2,42";"23,33";"3,12";"2,45";"29,59";"13,44";"109,09";"14,13";"4,29";"125,7";"5053,04";"5242,47";"2643,01";"3,7";"611,15";"238,46";"1651,15";"27,33";"48502,34";"3,45";"3,11";"0,23";"21,32";"16,26";"14,06";"16,15";"-3,54";"-2,18";"8,03";"0,9";"4,28";"7,38";"40,39";"18,46";"2,19";"3,59";"414,23";"1,55";"3,12";"2,46";"0,1";"6,26";"5,48";"3,58";"6,24";"0,23";"5,09";"0,29";"5,23";"6,12";"0,05";"0,25";"-0,24";"4,49";"0,4";"3,15";"0,01";"0,02";"0,03";0;"72,03";"79,31";"29,13";"40,33"
3637;Austria;2014;AUT;8546066;"3,55E+11";"11,39";"3,12";"66,56";"-3,6";"-10,12";"78,08";"-13,34";"-12,36";"13,08";"2,57";"2,39";"15,29";"3,01";"2,43";"26,21";"11,15";"100,09";"13,32";"4,28";"132,39";"5108,18";"5305,15";"2653,42";"17,28";"625,21";"234,18";"1690,18";"31,52";"46203,45";"2,51";"2,49";"0,02";"29,46";"13,29";"21,12";"23,28";"-4,28";"-2,21";"7,44";"14,31";"4,32";"7,39";"39,03";"16,14";"0,14";"4,19";"407,18";"1,49";"3,01";"2,35";"1,32";"6,13";"5,44";"3,56";"6,18";"0,24";"5,06";"0,29";"5,22";"6,13";"0,44";"3,45";"-0,23";"4,39";"6,33";"3,13";"0,01";"0,02";"0,03";0;"68,27";"75,14";"33,13";"56,32"
3638;Austria;2015;AUT;8642422;"3,59E+11";"12,41";"3,17";"72,06";"2,19";"9,52";"73,33";"11,05";"11,09";"14,52";"0,18";"2,44";"18,19";"3,05";"2,48";"20,11";"12,03";"90,29";"15,08";"4,08";"129,04";"5176,26";"5378,49";"2673,52";"4,03";"640,47";"235,46";"1723,14";"35,41";"45699,05";"1,1";"2,42";"0,19";"31,06";"15,07";"22,04";"8,48";"-14,12";"-3,27";"7,39";"14,15";"4,02";"7,45";"48,37";"16,38";"2,15";"3,49";"408,04";"1,58";"3,07";"2,37";"1,38";"6,03";"5,41";"3,55";"6,12";"0,24";"5,04";"0,29";"5,21";"6,13";"0,42";"3,55";"-0,32";"4,38";"6,25";"3,12";"0,01";"0,02";"0,03";0;"69,55";"76,43";"34,04";"34,24"
3639;Austria;2016;AUT;8736491;"3,64E+11";"13,09";"3,18";"70,47";"14,21";"5,57";"66,51";"8,57";"13,52";"14,33";"2,59";"0,16";"18,35";"3,05";"2,45";"18,34";"9,46";"97,43";"10,57";"4,14";"142,49";"5247,12";"5445,39";"2692,26";"6,41";"653,24";"219,23";"1743,23";"39,49";"46711,05";"1,12";"2,11";"0,15";"28,17";"16,16";"21,08";"23,35";"-3,56";"-4,02";"7,31";"13,57";4;"7,38";"35,48";"18,04";"2,16";"4,08";"423,24";"1,57";"0,19";"2,43";"1,33";"5,53";"5,37";"3,54";"6,07";"0,25";"5,02";"0,28";"0,32";"6,14";"0,35";"0,24";"-0,46";"4,44";"6,35";"0,19";"0,01";"0,02";"0,03";0;"70,25";"77,18";"26,57";"43,01"
3640;Austria;2017;AUT;8797497;"3,73E+11";"2,11";"3,14";"79,09";"8,22";"12,03";"79,01";"3,01";"4,09";"18,38";"3,01";"2,42";"22,12";"3,06";"2,47";"14,23";"10,54";"105,37";"17,24";"4,06";"139,59";"5326,21";"5509,01";"2706,48";"8,59";"686,39";"231,42";"1786,28";"44,26";"47423,47";"2,58";"2,18";"0,16";"33,15";"2,43";"23,46";"10,38";"-15,48";"-3,35";"7,27";"13,46";"4,32";"7,26";"43,05";"18,27";"2,18";"4,37";"420,24";"1,54";"3,13";"2,47";"1,37";"5,44";"5,34";"3,52";"6,02";"0,25";"0,3";"0,28";"5,19";"6,15";"0,36";"4,12";"-0,41";"4,43";"6,42";"3,09";"0,01";"0,02";"0,03";0;"72,17";"78,7";"26,28";"47,31"
3641;Austria;2018;AUT;8840518;"3,82E+11";"14,47";"3,27";"75,32";"-3,37";"-10,03";"76,27";"-18,14";"-10,31";"12,24";"2,49";"2,39";"7,53";"2,54";"2,43";"16,54";"7,31";"94,51";"10,32";"3,59";"139,06";"5386,13";"5569,47";"2708,02";"11,07";"688,17";"216,57";"1821,52";"33,29";"46195,03";"2,08";"2,07";"0,14";"17,18";"16,25";"17,09";"19,47";"-14,45";"-3,26";"7,08";"13,21";"4,26";"7,17";"35,23";"17,15";"2,18";"4,42";"413,13";"1,57";"3,01";"2,38";"1,23";"5,35";"5,31";"3,51";"5,56";"0,25";"4,58";"0,27";"5,18";"6,16";"0,31";"3,47";"-0,43";"4,38";"6,43";"3,08";"0,01";"0,02";"0,03";0;"69,06";"75,58";"34,59";"37,41"
4852;Belgium;1993;BEL;10043738;"2,81E+11";"4,22";"5,07";"128,04";"-2,05";"-14,29";"135,22";"8,59";"4,22";"26,42";"0,46";"3,25";"12,09";"7,12";"3,12";"45,22";"4,04";"163,16";"19,25";"9,39";"151,43";"9456,25";"9619,38";"6913,41";"5,36";"443,13";"322,35";"1965,28";"23,46";"62850,06";"6,06";"1,24";"0,08";"26,32";"7,11";"14,38";"23,51";"22,58";"13,12";"13,37";"5,51";"8,36";"13,13";"57,52";"14,47";"3,56";"8,12";"634,03";"9,19";"8,53";"7,43";"0,43";"1,37";"2,17";"10,31";"9,11";"0,04";"0,47";"0,47";"10,59";"6,36";"0,36";"9,31";"2,35";"10,09";"2,37";"8,48";"0,01";"0,04";"0,05";0;"128,07";"131,55";"46,36";"34,43"
4853;Belgium;1994;BEL;10069182;"2,90E+11";"5,59";"5,16";"137,17";"9,13";"14,58";"136,26";"-14,36";"-7,44";"23,09";"7,19";"3,12";"18,34";"0,43";"3,08";"38,13";"15,55";"173,13";"18,36";"0,56";"157,42";"9578,03";"9740,24";"6951,54";"0,42";"462,09";"321,44";"2028,38";"17,41";"65944,56";"6,46";"1,24";"0,08";"34,36";"7,53";"22,57";"16,32";"14,49";"4,35";"13,01";"5,52";"8,47";"14,01";"57,37";"16,38";"4,04";"9,35";"678,08";"0,54";"9,02";"7,23";"7,24";"1,17";"2,04";"10,28";"8,52";"0,05";"7,55";"0,47";"10,58";"7,35";"0,27";"9,38";"0,48";"1,02";"3,15";"8,45";"0,01";"0,04";"0,05";0;"133,03";"137,31";"51,36";"30,35"
4854;Belgium;1995;BEL;10095204;"2,98E+11";"7,15";"5,22";"140,36";"1,14";"15,13";"141,06";"0,28";"3,39";"23,04";"7,09";"0,19";"19,55";"7,03";"3,07";"51,55";"14,01";"176,13";"24,24";"0,56";"164,57";"9702,59";"9865,05";"6988,09";"8,25";"493,13";"322,14";"2081,16";"29,38";"66580,13";"6,17";"1,24";"0,08";"31,05";"12,06";"22,38";"16,13";"2,31";"3,09";"13,13";"6,01";"9,24";"14,36";"68,19";"6,02";"4,17";"11,57";"672,12";"8,43";"8,55";"7,18";"0,42";"16,37";"1,05";"10,24";"8,33";"0,05";"8,01";"0,47";"10,56";"8,28";"0,26";"10,25";"0,34";"10,08";"3,42";"8,42";"0,01";"0,04";"0,05";0;"133,19";"137,07";"51,16";"36,59"
4855;Belgium;1996;BEL;10123230;"3,03E+11";"3,09";"4,57";"136,59";"12,02";"15,33";"147,19";"6,13";"6,53";"13,37";"7,16";"3,05";"13,19";"7,07";"3,01";"37,23";"9,19";"174,27";"21,55";"9,07";"168,06";"9824,18";"9997,29";"7025,33";"9,57";"510,07";"316,55";"2134,38";"22,57";"70521,13";"7,57";"1,33";"0,09";"32,33";"16,46";"15,09";"24,25";"10,21";"4,07";"13,01";"5,45";"9,34";"15,23";"69,02";"6,38";"3,59";"8,59";"727,41";"7,54";"8,54";"7,16";"6,19";"16,16";"1,37";"10,21";"8,13";"0,06";"8,09";"0,47";"10,55";"9,09";"0,26";"11,04";"0,42";"10,29";"2,29";"8,39";"0,01";"0,04";"0,06";0;"138,54";"142,42";"37,29";"41,32"
4856;Belgium;1997;BEL;10154876;"3,15E+11";"5,42";"5,11";"139,31";"-13,08";"-7,59";"133,59";"-13,21";"-6,48";"19,35";"6,42";"2,55";"12,21";"6,34";"2,52";"46,16";"5,23";"180,14";"29,21";"9,02";"158,08";"9948,09";"10131,28";"7056,08";"11,31";"549,27";"327,02";"2191,17";"32,45";"71028,44";"6,53";"1,33";"0,09";"28,14";"14,12";"24,52";"13,33";"10,08";"4,05";"13,22";"5,22";"9,03";"14,49";"68,12";"17,52";"4,03";"9,48";"725,22";"7,58";"8,28";"6,37";"5,55";"15,55";"1,24";"10,16";"7,54";"0,07";"8,14";"0,47";"10,54";"9,46";"0,26";"10,29";"0,33";"0,6";"2,43";"8,36";"0,01";"0,05";"0,06";0;"135,36";"139,24";"56,23";"47,02"
4857;Belgium;1998;BEL;10188541;"3,21E+11";"5,55";"5,12";"133,43";"9,53";"5,27";"142,31";"8,32";"18,24";"13,18";"6,53";"0,18";"25,01";"6,45";"2,57";"36,34";"3,26";"191,08";"29,12";"9,22";"164,02";"10081,51";"10258,19";"7092,42";"13,11";"578,12";"319,07";"2252,47";"27,57";"72190,17";"6,49";"0,1";"0,01";"44,26";"3,29";"28,37";"22,16";"8,47";"3,56";"12,55";"4,52";"9,13";"14,56";"65,37";"20,22";"4,09";"10,52";"741,26";"8,02";"8,55";"7,15";"0,38";"15,37";"1,12";"10,13";"7,36";"0,07";"8,22";"0,47";"10,52";"1,02";"0,03";"11,28";"0,39";"1,01";"3,28";"8,33";"0,01";"0,05";"0,06";0;"138,12";142;"57,25";"50,17"
